financial_abnormality_detection/results/best_sage_model_74.01.pt
Epoch: 010, Train Loss: 0.1287, Valid Loss: 0.1275, Train AUC: 49.45, Valid AUC: 50.66
Epoch: 020, Train Loss: 0.1046, Valid Loss: 0.1035, Train AUC: 51.40, Valid AUC: 52.48
Epoch: 030, Train Loss: 0.0884, Valid Loss: 0.0879, Train AUC: 55.39, Valid AUC: 56.11
Epoch: 040, Train Loss: 0.0719, Valid Loss: 0.0720, Train AUC: 62.14, Valid AUC: 62.13
Epoch: 050, Train Loss: 0.0688, Valid Loss: 0.0692, Train AUC: 66.14, Valid AUC: 65.57
Epoch: 060, Train Loss: 0.0663, Valid Loss: 0.0665, Train AUC: 66.98, Valid AUC: 66.71
Epoch: 070, Train Loss: 0.0657, Valid Loss: 0.0659, Train AUC: 68.42, Valid AUC: 68.14
Epoch: 080, Train Loss: 0.0649, Valid Loss: 0.0653, Train AUC: 70.30, Valid AUC: 69.67
Epoch: 090, Train Loss: 0.0647, Valid Loss: 0.0651, Train AUC: 70.70, Valid AUC: 70.05
Epoch: 100, Train Loss: 0.0645, Valid Loss: 0.0649, Train AUC: 71.07, Valid AUC: 70.39
Epoch: 110, Train Loss: 0.0643, Valid Loss: 0.0647, Train AUC: 71.50, Valid AUC: 70.75
Epoch: 120, Train Loss: 0.0641, Valid Loss: 0.0645, Train AUC: 71.77, Valid AUC: 71.01
Epoch: 130, Train Loss: 0.0640, Valid Loss: 0.0644, Train AUC: 72.06, Valid AUC: 71.25
Epoch: 140, Train Loss: 0.0638, Valid Loss: 0.0643, Train AUC: 72.32, Valid AUC: 71.47
Epoch: 150, Train Loss: 0.0637, Valid Loss: 0.0642, Train AUC: 72.54, Valid AUC: 71.65
Epoch: 160, Train Loss: 0.0636, Valid Loss: 0.0641, Train AUC: 72.74, Valid AUC: 71.82
Epoch: 170, Train Loss: 0.0635, Valid Loss: 0.0640, Train AUC: 72.91, Valid AUC: 71.96
Epoch: 180, Train Loss: 0.0635, Valid Loss: 0.0640, Train AUC: 73.08, Valid AUC: 72.10
Epoch: 190, Train Loss: 0.0634, Valid Loss: 0.0639, Train AUC: 73.22, Valid AUC: 72.21
Epoch: 200, Train Loss: 0.0633, Valid Loss: 0.0638, Train AUC: 73.35, Valid AUC: 72.32
Epoch: 210, Train Loss: 0.0633, Valid Loss: 0.0638, Train AUC: 73.46, Valid AUC: 72.41
Epoch: 220, Train Loss: 0.0632, Valid Loss: 0.0637, Train AUC: 73.56, Valid AUC: 72.51
Epoch: 230, Train Loss: 0.0632, Valid Loss: 0.0637, Train AUC: 73.67, Valid AUC: 72.61
Epoch: 240, Train Loss: 0.0631, Valid Loss: 0.0636, Train AUC: 73.77, Valid AUC: 72.70
Epoch: 250, Train Loss: 0.0631, Valid Loss: 0.0636, Train AUC: 73.84, Valid AUC: 72.77
Epoch: 260, Train Loss: 0.0631, Valid Loss: 0.0636, Train AUC: 73.91, Valid AUC: 72.84
Epoch: 270, Train Loss: 0.0630, Valid Loss: 0.0635, Train AUC: 73.99, Valid AUC: 72.91
Epoch: 280, Train Loss: 0.0630, Valid Loss: 0.0635, Train AUC: 74.05, Valid AUC: 72.97
Epoch: 290, Train Loss: 0.0630, Valid Loss: 0.0635, Train AUC: 74.11, Valid AUC: 73.02
Epoch: 300, Train Loss: 0.0629, Valid Loss: 0.0635, Train AUC: 74.16, Valid AUC: 73.08
Epoch: 310, Train Loss: 0.0629, Valid Loss: 0.0634, Train AUC: 74.22, Valid AUC: 73.13
Epoch: 320, Train Loss: 0.0629, Valid Loss: 0.0634, Train AUC: 74.26, Valid AUC: 73.17
Epoch: 330, Train Loss: 0.0629, Valid Loss: 0.0634, Train AUC: 74.31, Valid AUC: 73.22
